Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
2014,9,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.013,,0.002777777777777778,0.0,0.013,-0.015,-0.012222222222222221
2015,8,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,25,0.025,0.000,0.009000000000000001,0.0035,0.025,-0.0115,-0.005999999999999998
2016,19,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0006842105263157895,0.0,0.01,-0.015,-0.01431578947368421
2017,12,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.006,0.000,0.0009166666666666668,0.0,0.006,-0.015,-0.014083333333333333
2018,7,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,0.0005714285714285715,0.0,0.003,-0.015,-0.014428571428571428
2019,8,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.008,0.000,0.001375,0.0,0.008,-0.015,-0.013625
2020,11,Queens,404,Bayside - Little Neck,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0033636363636363642,0.003,0.01,-0.012,-0.011636363636363636
2014,16,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,6,0.027,,0.0016875,0.0,0.027,-0.015,-0.0133125
2015,14,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,0.00035714285714285714,0.0,0.003,-0.015,-0.014642857142857141
2016,88,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,2,0.021,0.000,0.0007386363636363638,0.0,0.021,-0.015,-0.014261363636363636
2017,60,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.017,0.000,0.0005666666666666667,0.0,0.017,-0.015,-0.014433333333333333
2018,45,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0003777777777777778,0.0,0.007,-0.015,-0.014622222222222222
2019,58,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.002,0.000,8.620689655172414e-05,0.0,0.002,-0.015,-0.014913793103448276
2020,53,Queens,404/406,Bayside - Little Neck - Fresh Medows,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.001,0.000,9.433962264150943e-05,0.0,0.001,-0.015,-0.01490566037735849
2014,50,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.003,0.003320000000000002,0.003,0.004,-0.012,-0.011679999999999998,6,0.037,0.000,0.00202,0.0,0.037,-0.015,-0.012979999999999998
2015,60,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.006,0.002,0.0032000000000000023,0.003,0.004,-0.012,-0.011799999999999998,8,0.032,0.000,0.003433333333333334,0.0,0.032,-0.015,-0.011566666666666666
2016,291,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.001,0.0025120274914089366,0.002,0.006,-0.013,-0.012487972508591063,1,0.037,0.000,0.001333333333333334,0.0,0.037,-0.015,-0.013666666666666666
2017,209,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.001,0.001732057416267944,0.001,0.006,-0.013999999999999999,-0.013267942583732055,2,0.049,0.000,0.001588516746411484,0.0,0.049,-0.015,-0.013411483253588515
2018,263,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.000,0.0014828897338403052,0.001,0.007,-0.013999999999999999,-0.013517110266159694,2,0.067,0.000,0.001539923954372624,0.0,0.067,-0.015,-0.013460076045627375
2019,255,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.007,0.000,0.0010078431372549023,0.0,0.007,-0.015,-0.013992156862745096,3,0.042,0.000,0.0015607843137254906,0.0,0.042,-0.015,-0.013439215686274509
2020,182,Brooklyn,203,Bedford Stuyvesant - Crown Heights,0.015,0,0.006,0.000,0.0008406593406593411,0.0,0.006,-0.015,-0.014159340659340658,2,0.036,0.000,0.001307692307692308,0.0,0.036,-0.015,-0.013692307692307691
2014,21,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.006,0.003,0.003523809523809524,0.003,0.003,-0.012,-0.011476190476190475,9,0.033,0.000,0.0031904761904761906,0.0,0.033,-0.015,-0.011809523809523808
2015,38,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.007,0.002,0.0031842105263157915,0.003,0.005,-0.012,-0.011815789473684208,7,0.057,0.000,0.0044736842105263155,0.0,0.057,-0.015,-0.010526315789473684
2016,115,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.006,0.001,0.0026695652173913064,0.002,0.005,-0.013,-0.012330434782608693,6,0.030,0.000,0.0023217391304347834,0.0,0.03,-0.015,-0.012678260869565215
2017,152,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.007,0.001,0.00199342105263158,0.001,0.006,-0.013999999999999999,-0.01300657894736842,6,0.150,0.000,0.0035065789473684218,0.0,0.15,-0.015,-0.011493421052631578
2018,85,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.007,0.000,0.001988235294117648,0.001,0.007,-0.013999999999999999,-0.013011764705882351,9,0.077,0.000,0.0046588235294117665,0.0,0.077,-0.015,-0.010341176470588232
2019,107,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.006,0.000,0.0007757009345794394,0.0,0.006,-0.015,-0.01422429906542056,0,0.014,0.000,0.0008130841121495328,0.0,0.014,-0.015,-0.014186915887850466
2020,65,Brooklyn,209,Bensonhurst - Bay Ridge,0.015,0,0.007,0.000,0.0010461538461538462,0.0,0.007,-0.015,-0.013953846153846153,9,0.038,0.000,0.0034000000000000002,0.0,0.038,-0.015,-0.0116
2014,32,Brooklyn,206,Borough Park,0.015,0,0.007,0.003,0.003593750000000002,0.003,0.004,-0.012,-0.011406249999999998,6,0.043,0.000,0.00325,0.0,0.043,-0.015,-0.01175
2015,55,Brooklyn,206,Borough Park,0.015,0,0.007,0.002,0.0031454545454545476,0.003,0.005,-0.012,-0.011854545454545451,7,0.040,0.000,0.0033272727272727278,0.0,0.04,-0.015,-0.011672727272727272
2016,157,Brooklyn,206,Borough Park,0.015,0,0.006,0.000,0.0024968152866242056,0.002,0.006,-0.013,-0.012503184713375793,3,0.032,,0.0015477707006369432,0.0,0.032,-0.015,-0.013452229299363056
2017,122,Brooklyn,206,Borough Park,0.015,0,0.006,0.001,0.001696721311475411,0.001,0.005,-0.013999999999999999,-0.013303278688524588,1,0.021,0.000,0.0010491803278688528,0.0,0.021,-0.015,-0.013950819672131147
2018,142,Brooklyn,206,Borough Park,0.015,0,0.006,0.000,0.0010704225352112682,0.001,0.006,-0.013999999999999999,-0.01392957746478873,1,0.018,0.000,0.00073943661971831,0.0,0.018,-0.015,-0.01426056338028169
2019,170,Brooklyn,206,Borough Park,0.015,0,0.007,0.000,0.0007000000000000002,0.0,0.007,-0.015,-0.014299999999999998,2,0.051,0.000,0.0013000000000000004,0.0,0.051,-0.015,-0.013699999999999999
2020,146,Brooklyn,206,Borough Park,0.015,0,0.007,0.000,0.0007397260273972607,0.0,0.007,-0.015,-0.014260273972602738,1,0.042,0.000,0.000979452054794521,0.0,0.042,-0.015,-0.014020547945205478
2014,17,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.005,0.003,0.0036470588235294134,0.003,0.002,-0.012,-0.011352941176470586,0,0.009,0.000,0.002235294117647059,0.0,0.009,-0.015,-0.01276470588235294
2015,10,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.005,0.002,0.0033,0.003,0.003,-0.012,-0.011699999999999999,0,0.010,0.000,0.0020000000000000005,0.0,0.01,-0.015,-0.013
2016,67,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.007,0.002,0.0028955223880597026,0.002,0.005,-0.013,-0.012104477611940296,5,0.043,0.000,0.003641791044776121,0.0,0.043,-0.015,-0.011358208955223879
2017,37,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.006,0.001,0.0022162162162162173,0.001,0.005,-0.013999999999999999,-0.012783783783783783,8,0.026,0.000,0.0032972972972972973,0.0,0.026,-0.015,-0.011702702702702702
2018,37,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.007,0.000,0.002351351351351352,0.001,0.007,-0.013999999999999999,-0.012648648648648647,18,0.093,0.000,0.010135135135135136,0.0,0.093,-0.015,-0.004864864864864864
2019,37,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.007,0.000,0.0013513513513513519,0.0,0.007,-0.015,-0.013648648648648648,5,0.036,0.000,0.0025135135135135136,0.0,0.036,-0.015,-0.012486486486486486
2020,34,Brooklyn,208,Canarsie - Flatlands,0.015,0,0.007,0.000,0.0015,0.0,0.007,-0.015,-0.0135,11,0.082,0.000,0.006235294117647059,0.0,0.082,-0.015,-0.00876470588235294
2014,16,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,0.0001875,0.0,0.003,-0.015,-0.0148125
2015,20,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.004,0.000,0.00030000000000000003,0.0,0.004,-0.015,-0.0147
2016,170,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.012,,0.0003823529411764706,0.0,0.012,-0.015,-0.014617647058823529
2017,86,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.013,0.000,0.0003372093023255814,0.0,0.013,-0.015,-0.014662790697674418
2018,117,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.0003504273504273505,0.0,0.007,-0.015,-0.014649572649572649
2019,159,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.011,0.000,0.00014465408805031446,0.0,0.011,-0.015,-0.014855345911949685
2020,83,Manhattan,302,Central Harlem - Morningside Heights,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.011,0.000,0.0004578313253012048,0.0,0.011,-0.015,-0.014542168674698795
2014,57,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,3,0.076,0.000,0.002175438596491228,0.0,0.076,-0.015,-0.012824561403508771
2015,63,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,3,0.074,0.000,0.0020634920634920637,0.0,0.074,-0.015,-0.012936507936507935
2016,382,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.020,0.000,0.00023821989528795818,0.0,0.02,-0.015,-0.014761780104712042
2017,217,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.067,0.000,0.0007142857142857144,0.0,0.067,-0.015,-0.014285714285714285
2018,193,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.012,0.000,0.00036269430051813473,0.0,0.012,-0.015,-0.014637305699481865
2019,212,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.011,0.000,0.00025000000000000006,0.0,0.011,-0.015,-0.01475
2020,183,Manhattan,306/308,Chelsea - Greenwich Village,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.013,0.000,0.00037704918032786897,0.0,0.013,-0.015,-0.01462295081967213
2014,26,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.007,0.003,0.004076923076923079,0.003,0.004,-0.012,-0.01092307692307692,19,0.046,0.000,0.007423076923076925,0.0,0.046,-0.015,-0.007576923076923075
2015,31,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.007,0.002,0.0031290322580645176,0.003,0.005,-0.012,-0.011870967741935481,6,0.046,0.000,0.0038709677419354847,0.0,0.046,-0.015,-0.011129032258064515
2016,119,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.007,0.001,0.0025798319327731112,0.002,0.006,-0.013,-0.012420168067226888,6,0.150,0.000,0.0036806722689075636,0.0,0.15,-0.015,-0.011319327731092435
2017,65,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.006,0.001,0.0016923076923076933,0.001,0.005,-0.013999999999999999,-0.013307692307692307,4,0.031,0.000,0.0019230769230769232,0.0,0.031,-0.015,-0.013076923076923076
2018,69,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.007,0.000,0.0015797101449275368,0.001,0.007,-0.013999999999999999,-0.013420289855072463,1,0.056,0.000,0.0018840579710144932,0.0,0.056,-0.015,-0.013115942028985507
2019,87,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.006,0.000,0.0008045977011494254,0.0,0.006,-0.015,-0.014195402298850574,1,0.016,0.000,0.0010459770114942533,0.0,0.016,-0.015,-0.013954022988505746
2020,90,Brooklyn,210,Coney Island - Sheepshead Bay,0.015,0,0.007,0.000,0.001422222222222223,0.0,0.007,-0.015,-0.013577777777777777,6,0.038,0.000,0.002855555555555556,0.0,0.038,-0.015,-0.012144444444444444
2014,121,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.007,0.003,0.0034380165289256224,0.003,0.004,-0.012,-0.011561983471074377,2,0.052,0.000,0.0021157024793388435,0.0,0.052,-0.015,-0.012884297520661156
2015,143,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.005,0.002,0.0028181818181818204,0.003,0.003,-0.012,-0.012181818181818179,0,0.009,0.000,0.0006643356643356646,0.0,0.009,-0.015,-0.014335664335664335
2016,588,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.007,0.000,0.0023452380952380947,0.002,0.007,-0.013,-0.012654761904761905,1,0.389,,0.0014234693877551025,0.0,0.389,-0.015,-0.013576530612244897
2017,392,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.007,0.000,0.0014872448979591846,0.001,0.007,-0.013999999999999999,-0.013512755102040815,2,0.281,,0.0016938775510204089,0.0,0.281,-0.015,-0.01330612244897959
2018,417,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.007,0.000,0.0012062350119904084,0.001,0.007,-0.013999999999999999,-0.01379376498800959,0,0.637,0.000,0.0023381294964028784,0.0,0.637,-0.015,-0.012661870503597121
2019,412,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.006,0.000,0.00075242718446602,0.0,0.006,-0.015,-0.014247572815533979,0,0.033,0.000,0.0008713592233009714,0.0,0.033,-0.015,-0.014128640776699028
2020,312,Brooklyn,202,Downtown - Heights - Park Slope,0.015,0,0.006,0.000,0.0006185897435897438,0.0,0.006,-0.015,-0.014381410256410255,0,0.029,0.000,0.0006634615384615387,0.0,0.029,-0.015,-0.014336538461538461
2014,38,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.007,0.003,0.0036315789473684227,0.003,0.004,-0.012,-0.011368421052631576,7,0.173,0.000,0.007263157894736843,0.0,0.173,-0.015,-0.0077368421052631565
2015,40,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.006,0.002,0.0031500000000000013,0.003,0.004,-0.012,-0.011849999999999998,7,0.035,0.000,0.0032500000000000003,0.0,0.035,-0.015,-0.01175
2016,159,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.006,0.000,0.0025660377358490585,0.002,0.006,-0.013,-0.01243396226415094,1,0.022,,0.0011194968553459121,0.0,0.022,-0.015,-0.013880503144654088
2017,143,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.006,0.001,0.0016013986013986025,0.001,0.005,-0.013999999999999999,-0.013398601398601396,2,0.031,0.000,0.001097902097902098,0.0,0.031,-0.015,-0.013902097902097902
2018,180,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.006,0.000,0.001083333333333334,0.001,0.006,-0.013999999999999999,-0.013916666666666666,0,0.022,0.000,0.0005333333333333335,0.0,0.022,-0.015,-0.014466666666666666
2019,169,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.007,0.000,0.0010887573964497045,0.0,0.007,-0.015,-0.013911242603550296,4,0.080,0.000,0.0028224852071005928,0.0,0.08,-0.015,-0.012177514792899406
2020,143,Brooklyn,207,East Flatbush - Flatbush,0.015,0,0.006,0.000,0.0010209790209790215,0.0,0.006,-0.015,-0.013979020979020977,0,0.019,0.000,0.00120979020979021,0.0,0.019,-0.015,-0.01379020979020979
2014,3,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
2015,11,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
2016,76,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,3.9473684210526316e-05,0.0,0.003,-0.015,-0.014960526315789473
2017,23,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
2018,35,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.002,0.000,5.714285714285714e-05,0.0,0.002,-0.015,-0.014942857142857143
2019,25,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.002,0.000,8e-05,0.0,0.002,-0.015,-0.01492
2020,18,Manhattan,303,East Harlem,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
2014,6,Brooklyn,204,East New York,0.015,0,0.006,0.003,0.003999999999999999,0.0035,0.003,-0.0115,-0.011,16,0.035,0.000,0.007500000000000001,0.002,0.035,-0.013,-0.007499999999999999
2015,5,Brooklyn,204,East New York,0.015,0,0.003,0.002,0.0022,0.002,0.001,-0.013,-0.012799999999999999,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
2016,33,Brooklyn,204,East New York,0.015,0,0.004,0.001,0.002181818181818183,0.002,0.003,-0.013,-0.012818181818181815,0,0.004,0.000,0.0003030303030303031,0.0,0.004,-0.015,-0.014696969696969696
2017,26,Brooklyn,204,East New York,0.015,0,0.007,0.001,0.0018076923076923085,0.001,0.006,-0.013999999999999999,-0.01319230769230769,3,0.098,0.000,0.004692307692307693,0.0,0.098,-0.015,-0.010307692307692306
2018,28,Brooklyn,204,East New York,0.015,0,0.006,0.000,0.001571428571428572,0.001,0.006,-0.013999999999999999,-0.013428571428571427,0,0.015,0.000,0.0011071428571428573,0.0,0.015,-0.015,-0.013892857142857143
2019,41,Brooklyn,204,East New York,0.015,0,0.005,0.000,0.0005365853658536585,0.0,0.005,-0.015,-0.01446341463414634,0,0.010,0.000,0.0007073170731707318,0.0,0.01,-0.015,-0.014292682926829267
2020,38,Brooklyn,204,East New York,0.015,0,0.003,0.000,0.0005526315789473684,0.0,0.003,-0.015,-0.01444736842105263,0,0.002,0.000,0.00034210526315789477,0.0,0.002,-0.015,-0.014657894736842104
2014,19,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,5,0.018,0.000,0.0019999999999999996,0.0,0.018,-0.015,-0.013
2015,23,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,13,0.035,,0.004478260869565218,0.0,0.035,-0.015,-0.010521739130434781
2016,88,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,4,0.149,,0.0033181818181818186,0.0,0.149,-0.015,-0.01168181818181818
2017,56,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.883,0.000,0.016839285714285716,0.0,0.883,-0.015,0.001839285714285717
2018,57,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,5,0.079,0.000,0.0028947368421052633,0.0,0.079,-0.015,-0.012105263157894737
2019,60,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,8,0.034,0.000,0.0021,0.0,0.034,-0.015,-0.0129
2020,66,Queens,403,Flushing - Clearview,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,6,0.041,0.000,0.003515151515151516,0.0,0.041,-0.015,-0.011484848484848483
2014,8,Bronx,103,Fordham - Bronx Park,0.015,100,0.100,0.049,0.06049999999999999,0.0535,0.051000000000000004,0.0385,0.04549999999999999,0,0.002,0.000,0.000375,0.0,0.002,-0.015,-0.014624999999999999
2015,11,Bronx,103,Fordham - Bronx Park,0.015,100,0.121,0.040,0.05036363636363636,0.044,0.08099999999999999,0.028999999999999998,0.03536363636363636,0,0.003,0.000,0.00027272727272727274,0.0,0.003,-0.015,-0.014727272727272726
2016,46,Bronx,103,Fordham - Bronx Park,0.015,100,2.766,0.019,0.13799999999999998,0.025,2.747,0.010000000000000002,0.12299999999999998,4,0.026,0.000,0.0013043478260869564,0.0,0.026,-0.015,-0.013695652173913043
2017,38,Bronx,103,Fordham - Bronx Park,0.015,44,15.082,0.013,0.4138157894736841,0.014,15.069,-0.0009999999999999992,0.39881578947368407,2,0.086,0.000,0.0023421052631578945,0.0,0.086,-0.015,-0.012657894736842104
2018,34,Bronx,103,Fordham - Bronx Park,0.015,2,0.062,0.010,0.012882352941176475,0.011,0.052,-0.004,-0.0021176470588235245,0,0.001,0.000,2.9411764705882354e-05,0.0,0.001,-0.015,-0.014970588235294117
2019,57,Bronx,103,Fordham - Bronx Park,0.015,8,15.483,0.008,0.28826315789473655,0.008,15.475000000000001,-0.006999999999999999,0.27326315789473654,1,0.463,0.000,0.008421052631578947,0.0,0.463,-0.015,-0.006578947368421052
2020,29,Bronx,103,Fordham - Bronx Park,0.015,3,0.056,0.007,0.008758620689655177,0.007,0.049,-0.008,-0.006241379310344823,0,0.001,0.000,3.4482758620689657e-05,0.0,0.001,-0.015,-0.01496551724137931
2014,27,Brooklyn,201,Greenpoint,0.015,0,0.005,0.003,0.0031481481481481495,0.003,0.002,-0.012,-0.01185185185185185,0,0.004,0.000,0.00037037037037037046,0.0,0.004,-0.015,-0.01462962962962963
2015,29,Brooklyn,201,Greenpoint,0.015,0,0.005,0.002,0.0026551724137931047,0.002,0.003,-0.013,-0.012344827586206895,0,0.007,0.000,0.0006551724137931036,0.0,0.007,-0.015,-0.014344827586206896
2016,146,Brooklyn,201,Greenpoint,0.015,0,0.006,0.000,0.0022808219178082206,0.002,0.006,-0.013,-0.012719178082191779,0,0.011,,0.0004863013698630138,0.0,0.011,-0.015,-0.014513698630136986
2017,108,Brooklyn,201,Greenpoint,0.015,0,0.005,0.001,0.001250000000000001,0.001,0.004,-0.013999999999999999,-0.013749999999999998,0,0.006,0.000,0.0001944444444444445,0.0,0.006,-0.015,-0.014805555555555554
2018,116,Brooklyn,201,Greenpoint,0.015,0,0.007,0.000,0.0012672413793103454,0.001,0.007,-0.013999999999999999,-0.013732758620689654,3,0.661,,0.007155172413793105,0.0,0.661,-0.015,-0.007844827586206894
2019,159,Brooklyn,201,Greenpoint,0.015,0,0.006,0.000,0.0004654088050314466,0.0,0.006,-0.015,-0.014534591194968553,0,0.013,0.000,0.0004654088050314466,0.0,0.013,-0.015,-0.014534591194968553
2020,116,Brooklyn,201,Greenpoint,0.015,0,0.006,0.000,0.0005689655172413793,0.0,0.006,-0.015,-0.01443103448275862,0,0.014,0.000,0.0006206896551724138,0.0,0.014,-0.015,-0.014379310344827586
2014,14,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,7,0.017,,0.0019285714285714288,0.0,0.017,-0.015,-0.01307142857142857
2015,19,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,10,0.019,0.000,0.002157894736842105,0.0,0.019,-0.015,-0.012842105263157894
2016,63,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.009,0.000,0.0008253968253968256,0.0,0.009,-0.015,-0.014174603174603173
2017,48,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,2,0.052,0.000,0.0012916666666666667,0.0,0.052,-0.015,-0.013708333333333333
2018,46,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.010,0.000,0.0005869565217391305,0.0,0.01,-0.015,-0.014413043478260869
2019,85,Queens,408,Jamaica,0.015,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,2,0.042,0.000,0.0012588235294117651,0.0,0.042,-0.015,-0.013741176470588234
